barcode,product_name,additive_count,hazard_index,interaction_score
3173990026835,Biscuits Cuiller,3,0.0,0.0
5000168198491,Sablés Anglais L'Original,3,0.0,0.82
5410421002326,ABC BISCUITS,0,0.0,0.0
6194008554789,Major,11,0.05,1.72
0060410071588,Ketchup Chips,0,0.0,0.0
0627735018942,Ketchup chips,9,0.06,2.8
3902634650026,Unknown,1,0.0,0.0
0194283101018,Ketchup Potato Chips,10,0.09,2.8
5449000195906,Coca-Cola Zero Zero,6,0.23,1.86
10001776,Coca-Cola Zero,6,0.23,0.98
8901764012914,Coca-Cola,3,0.1,0.0
04904500,Diet Coke,5,0.2,0.0
5449000009067,Coca-Cola,1,0.0,0.0
5449000051981,Original Taste,3,0.15,0.0
04952400,Diet coke,5,0.2,0.0
06746403,Diet Coca-Cola,5,0.36,1.8
5449000311856,Unknown,15,0.23,10.68
5449000131843,Coca-Cola Zero,7,0.19,1.86
0841165156870,instant noodles,9,0.02,0.95
9310645215402,Chicken Flavoured Instant Noodles,4,0.0,0.0
0089686170726,Mi goreng Fried Noodles,13,0.12,3.62
7501008073759,Corn Flakes,0,0.0,0.0
5059319033501,Cornflakes,0,0.0,0.0
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,8,0.0,1.72
0089686130027,Indomie Instant Noodles Chicken Flavor,5,0.0,0.0
3017620422003,Nutella,2,0.0,0.0
7622201809188,Choco biscuits,0,0.0,0.0
5206674101004,Instant noodles,1,0.0,0.0
4056489354918,Noodles instant chicken,4,0.0,0.0
0034023754541,instant noodles,0,0.0,0.0
8901499008176,Kelloggs Corn Flakes,1,0.0,0.0
20159917,CORN FLAKES,0,0.0,0.0
3596710348251,"Dip'party : saveur salée, saveur bacon, saveur pizza, saveur oignon et sa sauce ketchup",4,0.0,0.0
0072080400025,Corn Chips,5,0.15,0.0
3017620401473,Pâte à tartiner aux noisettes et au cacao,2,0.0,0.0
7622210449283,Prince Goût Chocolat au blé complet,4,0.0,0.82
5449000008046,Coca-Cola slim 25cl,3,0.15,0.0
3017620425035,Nutella,2,0.0,0.0
8000500037560,bueno,4,0.0,0.0
5000159484695,Twix glacé,9,0.0,1.55
